Gene 1,Gene 2,Confidence Score
SPU_007262,SPU_017837,0.194012656
SPU_014576,SPU_010351,0.19398327
SPU_025346,SPU_014793,0.19397329
SPU_025346,SPU_009642,0.193496456
SPU_008845,SPU_002874,0.19310487
SPU_005358,SPU_002129,0.193008117
SPU_026633,SPU_010351,0.19295475
SPU_017837,SPU_010698_1,0.192560531
SPU_025590,SPU_027235,0.19216936
SPU_008117,SPU_017837,0.191862191
SPU_003470,SPU_021608,0.191700012
SPU_020123,SPU_001998,0.191493337
SPU_009831,SPU_020311,0.191306069
SPU_016881,SPU_014170,0.191255198
SPU_012253,SPU_011064,0.191190187
SPU_024903,SPU_002603,0.190704482
SPU_023386,SPU_005718,0.190596363
SPU_014332,SPU_012546,0.190480065
SPU_024189,SPU_012645,0.190424342
SPU_026418,SPU_004414,0.190123964
SPU_026465,SPU_018680,0.190037192
SPU_018391,SPU_020722,0.19002638
SPU_003166,SPU_010351,0.189946815
SPU_026465,SPU_020722,0.189912716
SPU_006676,SPU_005718,0.189893448
SPU_009642,SPU_000668,0.189366159
SPU_011635,SPU_027053,0.18936103
SPU_005718,SPU_017106,0.189201762
SPU_028255,SPU_010351,0.189109583
SPU_009831,SPU_012546,0.188954058
SPU_015374,SPU_001998,0.188633858
SPU_012253,SPU_002631,0.188603917
SPU_018056,SPU_018680,0.188284688
SPU_027053,SPU_019024,0.187906686
SPU_006312,SPU_027235,0.18785332
SPU_003704,SPU_009642,0.187838349
SPU_010305,SPU_005718,0.187801894
SPU_000756,SPU_006814,0.187754626
SPU_002603,SPU_010351,0.187434288
SPU_014793,SPU_000668,0.187333238
SPU_026633,SPU_027235,0.187324783
SPU_017725,SPU_018581,0.187298169
SPU_006753,SPU_027235,0.187271832
SPU_015828,SPU_008528,0.187244248
SPU_003166,SPU_027235,0.186866246
SPU_003179,SPU_010351,0.186708087
SPU_002874,SPU_028030,0.186678423
SPU_011297,SPU_014170,0.186668166
SPU_026205,SPU_006814,0.186543135
SPU_000424,SPU_000756,0.186464541
SPU_028827,SPU_000756,0.186211569
SPU_012648,SPU_009263,0.186042598
SPU_028583,SPU_010351,0.185740696
SPU_015243,SPU_027235,0.185703131
SPU_027969,SPU_024794,0.185461526
SPU_002791,SPU_028030,0.185351328
SPU_004414,SPU_001998,0.185128158
SPU_009771,SPU_017106,0.185013801
SPU_002634,SPU_017106,0.184962375
SPU_023386,SPU_006814,0.184815028
SPU_003179,SPU_006814,0.184591443
SPU_028583,SPU_000757,0.184589225
SPU_008196_1,SPU_005718,0.183994291
SPU_012384,SPU_002631,0.183952846
